zapytania_na_sekunde,historia_danych,ttl_dni,typ_przetwarzania,typ_zapytan,skalowalnosc,chmura,architektura
1067,1,96,1,1,1,0,0
90,1,48,2,0,0,1,0
1101,1,89,2,0,2,1,1
184,1,1,1,1,0,0,0
250,1,16,1,1,0,0,0
829,0,61,2,0,0,1,1
979,1,64,2,1,0,0,0
1106,1,63,1,0,2,0,0
1121,0,69,2,1,2,0,1
552,0,22,0,2,1,1,1
456,0,93,0,2,2,0,1
854,0,67,1,2,2,1,0
148,1,76,1,2,1,0,0
733,1,26,1,2,2,1,0
775,1,16,0,0,0,1,1
1010,1,51,2,2,0,0,0
662,1,86,0,2,1,1,0
692,1,57,2,2,1,0,0
1078,0,29,0,2,1,1,1
1291,1,78,2,1,0,0,0
552,0,92,0,0,2,0,1
816,0,69,1,2,0,1,0
447,1,47,0,2,1,0,0
920,0,94,2,2,2,0,1
844,1,62,0,0,2,1,1
442,0,69,0,1,0,0,1
256,1,76,0,0,1,0,0
1088,0,16,1,1,0,1,1
941,1,90,0,2,2,1,0
913,1,90,1,2,0,0,0
792,1,48,1,0,0,0,0
1314,1,85,0,0,1,1,1
613,1,39,0,1,1,1,0
1070,0,33,0,1,2,0,0
145,0,94,2,0,0,1,1
534,0,23,0,1,0,0,0
1480,1,10,1,0,0,0,1
280,0,69,0,1,2,0,1
798,1,34,2,0,2,0,0
1244,1,52,0,0,1,0,1
590,0,95,2,0,1,1,1
1109,0,10,2,1,1,1,0
574,1,19,0,1,0,1,0
1233,0,58,1,1,0,1,0
1316,1,96,2,0,1,0,0
1159,1,1,0,1,0,0,0
627,1,69,0,1,1,0,0
731,1,4,1,0,2,0,0
606,1,16,2,2,1,1,0
1062,0,24,2,0,2,0,1
695,0,80,0,1,0,0,0
845,1,2,0,0,1,1,0
1101,1,92,1,2,0,1,0
1413,0,32,1,0,2,1,1
1404,0,91,2,1,2,1,1
1421,1,84,2,2,2,0,0
1304,0,24,0,1,0,0,0
239,1,12,2,2,0,1,0
1298,0,50,1,2,0,0,0
1458,1,35,1,0,0,0,1
1450,0,33,0,0,2,0,1
1356,1,33,1,1,2,1,0
682,0,61,1,0,1,0,1
677,0,51,1,0,1,1,1
1022,1,43,1,2,0,0,0
1332,0,12,0,0,2,0,1
1432,1,67,0,2,2,0,0
759,0,65,2,2,2,1,0
1484,1,33,1,2,1,0,0
698,0,40,2,1,1,1,1
367,1,74,0,1,2,1,0
1298,0,43,0,1,2,1,1
1307,1,44,0,2,2,0,0
733,0,29,0,1,1,0,1
713,1,13,0,1,2,0,0
1447,1,12,0,0,2,0,0
1306,1,95,0,1,0,1,0
1186,0,46,1,1,0,1,0
491,1,2,2,2,1,1,0
613,0,35,0,2,2,0,0
1341,1,87,1,2,2,1,0
1459,0,81,1,2,0,0,1
1460,1,90,2,2,1,1,0
1186,0,8,0,2,0,0,0
1001,0,93,2,1,0,0,1
1154,1,26,0,2,0,1,0
748,0,74,1,2,0,1,0
162,0,90,1,0,2,1,1
